fid,season,playerid,g,pr,pryds,prtd,kr,kryds,krtd
1,1982,FERREAR001,9,1,6,0,4,88,0
1,1982,HARRWIL002,7,1,1,0,8,150,0
1,1982,LOVERAN001,9,,,,4,69,0
1,1982,MORRWAY001,9,,,,1,14,0
1,1982,GRIFJEF001,9,,,,1,12,0
1,1982,AHREDAV001,9,,,,1,5,0
1,1981,MITCSTU001,16,42,445,1,55,1292,0
1,1981,HARRWIL002,16,1,8,0,7,118,0
1,1981,GREEROY001,16,,,,8,135,0
1,1981,LOVERAN001,16,,,,3,46,0
1,1981,GRIFJEF001,16,,,,2,34,0
1,1980,BELLMAR005,11,21,195,0,,,
1,1980,GREEROY001,15,16,168,1,32,745,0
1,1980,HARRWIL002,16,11,31,0,19,348,0
1,1980,NELSLEE001,16,1,5,0,1,29,0
1,1980,ALLECAR002,16,1,0,0,,,
1,1980,LOVERAN001,16,,,,3,46,0
1,1980,STONKEN001,16,,,,3,34,0
1,1980,PHILROD001,16,,,,2,28,0
1,1980,BROWTHE001,16,,,,2,26,0
1,1980,CLARRAN001,8,,,,2,14,0
1,1980,COLLGEO001,16,,,,1,0,0
1,1980,BAKECHA001,16,,,,0,27,0
1,1979,HARRWIL002,14,32,205,0,22,497,0
1,1979,GREEROY001,16,8,42,0,41,1005,1
1,1979,NELSLEE001,16,4,88,0,,,
1,1979,LOTTTHO001,10,4,33,0,1,19,0
1,1979,BAREJOH001,15,,,,3,62,0
1,1979,ALLEKUR001,16,,,,2,16,0
1,1979,FAVRCAL001,16,,,,1,10,0
1,1979,GARLCHR001,9,,,,1,0,0
1,1978,HARRWIL002,13,21,196,1,19,389,0
1,1978,BELLGOR001,6,14,101,0,8,177,0
1,1978,SHELWIL001,3,10,88,0,9,211,0
1,1978,TILLPAT001,16,2,8,0,,,
1,1978,SOUTTOM001,2,2,-2,0,2,47,0
1,1978,WOOLROL001,2,1,4,0,1,25,0
1,1978,SMITPER001,16,1,0,0,,,
1,1978,CHILJIM001,8,,,,4,77,0
1,1978,MORRWAY001,13,,,,3,66,0
1,1978,NELSLEE001,16,,,,3,58,0
1,1978,LATIJER001,2,,,,2,48,0
1,1978,KEARTIM001,15,,,,1,22,0
1,1978,TOWNCUR001,9,,,,1,13,0
1,1978,WESTGRE001,10,,,,1,12,0
1,1978,STONKEN001,14,,,,1,3,0
1,1977,METCTER002,14,14,108,0,32,772,0
1,1977,TILLPAT001,14,13,111,0,,,
1,1977,BRADBIL001,4,11,77,0,4,75,0
1,1977,NELSLEE001,10,1,4,0,3,68,0
1,1977,SEVEJEF001,14,1,0,0,,,
1,1977,JONESTE001,14,,,,8,132,0
1,1977,LATIJER001,14,,,,3,79,0
1,1977,ALLEKUR001,14,,,,2,39,0
1,1977,MORRWAY001,12,,,,2,39,0
1,1977,OTISJIM001,13,,,,1,16,0
1,1977,SMITJAC003,14,,,,1,15,0
1,1977,WORTKEI001,14,,,,1,15,0
1,1977,OATEBRA001,9,,,,1,11,0
1,1977,SMITPER001,3,,,,1,10,0
1,1976,METCTER002,12,17,188,0,16,325,0
1,1976,TILLPAT001,13,15,146,0,,,
1,1976,HAMMGAR001,14,3,16,0,2,36,0
1,1976,NEILSTE001,7,1,0,0,,,
1,1976,LATIJER001,11,,,,16,357,0
1,1976,MORRWAY001,14,,,,9,181,0
1,1976,SMITJAC003,12,,,,3,63,0
1,1976,CRUMDWA001,13,,,,3,57,0
1,1976,NELSLEE001,9,,,,1,43,0
1,1976,MCGRMIK001,4,,,,1,13,0
1,1976,OATEBRA001,14,,,,1,12,0
1,1976,OKONSTE001,8,,,,1,12,0
1,1976,SEVEJEF001,14,,,,1,3,0
1,1975,METCTER002,13,23,285,1,35,960,1
1,1975,HAMMGAR001,14,9,70,0,13,254,0
1,1975,GRAYMEL001,14,7,53,0,,,
1,1975,WEHRROG001,14,1,2,0,1,10,0
1,1975,SMITJAC003,9,,,,1,25,0
1,1975,MOSSEDD001,8,,,,1,21,0
1,1975,GRAYTIM001,14,,,,1,20,0
1,1975,HARTGRE001,13,,,,1,20,0
1,1975,JONESTE001,13,,,,1,18,0
1,1975,REAVKEN001,14,,,,1,9,0
1,1974,METCTER002,14,26,340,0,20,623,1
1,1974,HAMMGAR001,12,17,125,0,11,268,0
1,1974,WEHRROG001,14,4,39,0,,,
1,1974,BELTWIL001,5,4,8,0,5,111,0
1,1974,TOLBJIM001,14,1,0,0,,,
1,1974,MOSSEDD001,11,,,,8,133,0
1,1974,LEVEJAC001,13,,,,2,32,0
1,1974,REAVKEN001,6,,,,1,22,0
1,1974,FINNROG001,14,,,,1,8,0
1,1974,CAINJVA001,14,,,,1,5,0
1,1974,CRUMBOB001,14,,,,1,1,0
1,1973,HAMMGAR001,9,11,80,0,12,314,0
1,1973,WEHRROG001,11,9,92,0,2,0,0
1,1973,THOMNOR002,11,6,18,0,,,
1,1973,BELTWIL001,3,1,2,0,3,83,0
1,1973,SHYADON001,11,,,,16,445,1
1,1973,HAYDLEO001,2,,,,5,98,0
1,1973,METCTER002,12,,,,4,124,0
1,1973,MOSSEDD001,5,,,,4,78,0
1,1973,GRAYMEL001,12,,,,4,73,0
1,1973,MCFAJIM001,14,,,,3,57,0
1,1973,DETWCHU001,10,,,,3,55,0
1,1973,BUTZDAV001,12,,,,1,23,0
1,1973,OWENMAR001,8,,,,1,19,0
1,1972,WILLLAR003,11,9,41,0,9,194,0
1,1972,WEHRROG001,14,5,24,0,1,10,0
1,1972,GRAYMEL001,7,2,-4,0,17,378,0
1,1972,RASHAHM001,14,,,,20,437,0
1,1972,BUTLCAN001,5,,,,4,85,0
1,1972,HYATFRE001,12,,,,1,41,0
1,1972,BURNLEO001,14,,,,1,7,0
1,1971,WILLLAR003,9,10,84,0,6,125,0
1,1971,WEHRROG001,13,9,84,0,,,
1,1971,THOMNOR002,14,5,27,0,7,182,0
1,1971,ROLAJOH001,13,3,10,0,2,24,0
1,1971,GILLJOH003,14,1,21,0,,,
1,1971,STALLAR001,14,1,8,0,,,
1,1971,DICKPAU001,5,1,0,0,,,
1,1971,GRAYMEL001,14,,,,30,740,0
1,1971,HOEYGEO001,6,,,,9,251,1
1,1971,EDWACID001,12,,,,2,41,0
1,1971,DIERDAN001,12,,,,1,0,0
1,1971,STEGLAR001,7,,,,1,0,0
1,1970,LATOCHU001,14,30,171,0,13,254,0
1,1970,ROLAJOH001,14,10,140,1,3,40,0
1,1970,WEHRROG001,14,1,4,0,,,
1,1970,PITTCHA001,8,,,,10,237,0
1,1970,WRIGNAT001,14,,,,8,156,0
1,1970,GILLJOH003,14,,,,5,107,0
1,1970,WHITPAU002,5,,,,3,65,0
1,1970,SHIVROY001,12,,,,2,35,0
1,1970,BROWTER001,10,,,,2,32,0
1,1970,WILSLAR001,13,,,,1,0,0
1,1969,WEHRROG001,13,13,65,0,1,18,0
1,1969,ROLAJOH001,14,10,53,0,,,
1,1969,SHIVROY001,12,9,44,0,10,205,0
1,1969,BROWTER001,14,6,39,0,15,320,0
1,1969,LANEMAC001,9,,,,20,523,0
1,1969,GILLJOH003,14,,,,11,339,1
1,1969,WILSMIK002,3,,,,4,66,0
1,1969,CRENWIL001,14,,,,4,34,0
1,1969,OLERDAV001,14,,,,2,2,0
1,1969,WILLCLY002,13,,,,1,0,0
1,1968,LATOCHU001,14,28,345,1,46,1237,0
1,1968,ROLAJOH001,14,3,11,0,,,
1,1968,CRENWIL001,14,,,,6,104,0
1,1968,SHIVROY001,14,,,,3,63,0
1,1968,LONGDAV001,14,,,,1,0,0
1,1967,SPILPHI001,14,15,124,0,10,219,0
1,1967,SHIVROY001,9,9,36,0,9,160,0
1,1967,LATOCHU001,14,6,21,0,,,
1,1967,ROLAJOH001,13,3,17,0,2,33,0
1,1967,WILLCLY002,9,1,0,0,,,
1,1967,WILLBOB003,14,,,,24,583,0
1,1967,BRYACHA001,14,,,,14,324,0
1,1967,STALLAR001,14,,,,2,39,0
1,1967,CRENWIL001,14,,,,2,14,0
1,1967,BARNMIK001,3,,,,1,0,0
1,1967,FISCPAT001,14,,,,1,0,0
1,1967,SORTRIC001,13,,,,1,0,0
1,1966,ROLAJOH001,14,20,221,1,15,347,0
1,1966,SHIVROY001,13,16,49,0,27,762,1
1,1966,GAMBBIL001,14,4,46,0,1,16,0
1,1966,WILLBOB003,14,,,,7,132,0
1,1966,BRYACHA001,4,,,,2,70,0
1,1966,ROYAFRA001,11,,,,2,10,0
1,1966,LONGDAV001,14,,,,1,9,0
1,1966,MELIMIK001,10,,,,1,2,0
1,1966,OGDERAY001,14,,,,1,0,0
1,1965,WOODABE001,13,18,7,0,27,665,0
1,1965,SILVCAR001,14,3,21,0,4,96,0
1,1965,BURSJIM001,12,1,0,0,,,
1,1965,GAMBBIL001,10,1,-1,0,9,216,0
1,1965,STOVJER001,10,,,,7,198,0
1,1965,HAMMMAL001,14,,,,3,34,0
1,1965,OGDERAY001,3,,,,2,55,0
1,1965,CRENWIL001,14,,,,2,23,0
1,1965,KOMABIL001,14,,,,1,0,0
1,1964,GAMBBIL001,14,12,126,0,4,92,0
1,1964,BURSJIM001,14,12,125,1,2,38,0
1,1964,STOVJER001,14,,,,24,566,0
1,1964,CRENWIL001,14,,,,13,340,0
1,1964,PAREBOB001,4,,,,9,192,0
1,1964,GAUTPRE001,13,,,,5,104,0
1,1964,HAMMMAL001,14,,,,2,61,0
1,1964,GRAYKEN001,14,,,,2,0,0
1,1964,CONRBOB001,14,,,,1,26,0
1,1964,THORBIL001,13,,,,1,5,0
1,1963,GAMBBIL001,14,11,111,0,,,
1,1963,FISCPAT001,14,9,25,0,,,
1,1963,PAREBOB001,14,4,23,0,12,292,0
1,1963,STACBIL001,9,1,6,0,,,
1,1963,CONRBOB001,14,1,1,0,,,
1,1963,STOVJER001,14,,,,15,419,0
1,1963,TRIPBIL001,13,,,,14,229,0
1,1963,THORBIL001,14,,,,4,70,0
1,1963,HAMMMAL001,13,,,,4,60,0
1,1963,GOODIRV001,13,,,,1,0,0
1,1963,GRAYKEN001,14,,,,1,0,0
1,1963,REDMTOM001,9,,,,1,0,0
1,1962,BEALNOR001,7,7,46,0,16,394,0
1,1962,STACBIL001,13,5,35,0,5,121,0
1,1962,FISCPAT001,12,4,37,0,7,187,0
1,1962,CONRBOB001,14,2,10,0,,,
1,1962,CROWJOH001,14,2,6,0,,,
1,1962,TRIPBIL001,14,,,,24,608,0
1,1962,GAUTPRE001,13,,,,6,124,0
1,1962,CHILJOE001,14,,,,3,19,0
1,1962,HAMMMAL001,14,,,,2,36,0
1,1962,ANDETAZ001,14,,,,1,6,0
1,1961,WESTWIL001,14,11,98,0,16,340,0
1,1961,CONRBOB001,14,5,103,1,1,28,0
1,1961,STACBIL001,13,5,9,0,3,60,0
1,1961,FISCPAT001,12,4,18,0,17,426,0
1,1961,DRISJOE001,14,1,8,0,2,8,0
1,1961,WILSLAR001,11,,,,4,83,0
