fid,team,season,league,conference,division,playoff_app,wild_card,div_title,conf_title,league_title,sb_title,title_notes,w,l,t,points,yards,plays,fd,to,pen,penyds,fdpen,patt,pcmp,pyds,ptd,pint,fdp,ratt,rnet,rtd,fdr,int,iyds,itd,pr,pryds,prtd,kr,kryds,krtd,patm,pata,fgm,fga,pt,ptyds,opp_points,opp_yards,opp_plays,opp_fd,opp_to,opp_pen,opp_penyds,opp_fdpen,opp_patt,opp_pcmp,opp_pyds,opp_ptd,opp_pint,opp_fdp,opp_ratt,opp_rnet,opp_rtd,opp_fdr,opp_pr,opp_pryds,opp_prtd,opp_kr,opp_kryds,opp_krtd,opp_patm,opp_pata,opp_fgm,opp_fga,opp_pt,opp_ptyds
12,Green Bay Packers,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,2,1,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Akron Pros,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,3,1,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Buffalo All-Americans,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,1,2,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Canton Bulldogs,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,2,3,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Cincinnati Celts,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,3,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Cleveland Indians,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,5,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Columbus Panhandles,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,8,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Dayton Triangles,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,4,1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Detroit Tigers,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,5,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Evansville Crimson Giants,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,2,0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Hammond Pros,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,3,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Louisville Brecks,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Minneapolis Marines,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,3,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Muncie Flyers,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,New York Brickley Giants,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Rochester Jeffersons,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,3,0,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Rock Island Independents,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,2,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Tonawanda Kardex,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Washington Senators,1921,APFA,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,2,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chicago Cardinals,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,3,0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Chicago Bears,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,3,0,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Green Bay Packers,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,3,3,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Akron Pros,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,5,2,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Buffalo All-Americans,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,4,1,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Canton Bulldogs,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,10,0,2,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Columbus Panhandles,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,8,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Dayton Triangles,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,3,1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Evansville Crimson Giants,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,3,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Hammond Pros,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Louisville Brecks,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,3,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Milwaukee Badgers,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,4,3,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Minneapolis Marines,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,3,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Oorang Indians,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,6,0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Racine Legion,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,4,1,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Rochester Jeffersons,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,4,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Rock Island Independents,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,2,1,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Toledo Maroons,1922,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,2,2,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chicago Cardinals,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,4,0,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Chicago Bears,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,2,1,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Green Bay Packers,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,2,1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Akron Pros,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,6,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Buffalo All-Americans,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,4,3,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Canton Bulldogs,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,11,0,1,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cleveland Indians,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,1,3,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Columbus Tigers,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,4,1,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Dayton Triangles,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,6,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Duluth Kelleys,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,3,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Hammond Pros,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,5,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Louisville Brecks,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Milwaukee Badgers,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,2,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Minneapolis Marines,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,5,2,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Oorang Indians,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,10,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Racine Legion,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,4,2,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Rochester Jeffersons,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,4,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Rock Island Independents,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,3,3,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,St. Louis All-Stars,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,4,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Toledo Maroons,1923,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,3,3,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chicago Cardinals,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,4,1,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Chicago Bears,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,1,4,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Green Bay Packers,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,7,4,0,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Akron Pros,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,6,0,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Buffalo Bisons,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,6,5,0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cleveland Bulldogs,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,7,1,1,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Columbus Tigers,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,4,0,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Dayton Triangles,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,6,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Duluth Kelleys,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,1,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Frankford Yellow Jackets,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,11,2,1,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Hammond Pros,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,2,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Kansas City Blues,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,7,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Kenosha Maroons,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,4,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Milwaukee Badgers,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,8,0,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Minneapolis Marines,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,6,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Racine Legion,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,3,3,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Rochester Jeffersons,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Rock Island Independents,1924,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,2,2,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chicago Cardinals,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,11,2,1,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Chicago Bears,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,9,5,3,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Green Bay Packers,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,5,0,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,New York Giants,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,4,0,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Akron Pros,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,2,2,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Pottsville Maroons,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,10,2,0,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Buffalo Bisons,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,6,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Canton Bulldogs,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,4,4,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cleveland Bulldogs,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,5,8,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Columbus Tigers,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,9,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Dayton Triangles,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Detroit Panthers,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,8,2,2,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Duluth Kelleys,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,3,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Frankford Yellow Jackets,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,13,7,0,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Hammond Pros,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,1,4,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Kansas City Cowboys,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2,5,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Milwaukee Badgers,1925,NFL,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,0,6,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
