fid,franchise,team,league,from,to,playoffs,div_champ,conference_champ,league_champ,sb_champ
78,Racine Tornadoes,Racine Tornadoes,NFL,1926,1926,,,,,
79,Rochester Jeffersons,Rochester Jeffersons,APFA,1920,1921,,,,,
79,Rochester Jeffersons,Rochester Jeffersons,NFL,1922,1925,,,,,
80,Rock Island Independents,Rock Island Independents,APFA,1920,1921,,,,,
80,Rock Island Independents,Rock Island Independents,NFL,1922,1925,,,,,
81,St. Louis All-Stars,St. Louis All-Stars,NFL,1923,1923,,,,,
82,St. Louis Gunners,St. Louis Gunners,NFL,1934,1934,,,,,
83,Staten Island Stapletons,Staten Island Stapletons,NFL,1929,1932,,,,,
84,Toledo Maroons,Toledo Maroons,NFL,1922,1923,,,,,
85,Tonawanda Kardex,Tonawanda Kardex,APFA,1921,1921,,,,,
86,Washington Senators,Washington Senators,APFA,1921,1921,,,,,
