fid,season,playerid,g,patt,pcmp,pyds,ptd,pint
1,1937,RUSSDOU001,11,11,4,94,1,2
1,1937,LAWRJIM001,11,3,0,0,0,0
1,1937,PANGHAL001,11,2,0,0,0,1
1,1937,CRASBIL001,3,1,0,0,0,0
1,1937,PARKBUD001,11,1,0,0,0,0
1,1937,REEDROC001,8,1,0,0,0,0
1,1937,TYLEPET001,6,1,0,0,0,0
1,1936,VAUGPUG001,12,79,30,546,2,10
1,1936,SARBPHI001,6,62,25,398,1,8
1,1936,GROSGEO002,9,34,12,173,0,6
1,1936,DOWEMUL001,10,2,1,6,0,0
1,1936,LAWRJIM001,7,2,0,0,0,1
1,1936,PANGHAL001,12,2,0,0,0,0
1,1936,RUSSDOU001,2,1,0,0,0,0
1,1936,SMITBIL001,11,1,0,0,0,1
1,1935,SARBPHI001,12,67,31,368,0,10
1,1935,RUSSDOU001,12,28,7,108,1,4
1,1935,PETEIKE001,11,17,5,92,1,3
1,1935,PARDPAU001,9,5,1,6,0,3
1,1935,PANGHAL001,9,4,1,15,0,2
1,1935,BERRGIL001,6,4,0,0,0,1
1,1935,NICHALA001,11,1,1,16,0,0
1,1935,COOKDAV001,10,1,1,7,0,0
1,1934,GREEFRA001,11,41,7,71,0,2
1,1934,GRIFHOM001,9,29,8,51,0,3
1,1934,RUSSDOU001,11,23,7,59,0,2
1,1934,SARBPHI001,4,16,5,71,1,3
1,1934,MIKUMIK001,11,10,2,21,0,2
1,1934,MURPTOM002,5,9,3,8,0,1
1,1934,HORSROY001,9,3,1,12,0,0
1,1934,SMITBIL001,11,1,1,9,0,0
1,1933,LILLJOE001,11,67,18,269,2,16
1,1933,KOKEMIK001,9,26,9,74,1,2
1,1933,NESBDIC001,5,15,1,11,0,4
1,1933,HANSCLI001,5,10,1,8,0,3
1,1933,LAMBROD001,4,5,1,8,0,1
1,1933,HINCCUR001,10,4,2,33,0,0
1,1933,BAUSJIM001,2,4,2,19,0,1
1,1933,LEDBDOC001,7,4,2,12,0,2
1,1933,NISBDAV001,10,3,1,36,0,1
1,1933,MOEAHAL001,10,1,0,0,0,0
1,1932,HOLMWAL002,10,78,25,449,2,1
1,1932,LILLJOE001,7,28,9,103,0,3
1,1932,MOLLLES001,8,11,2,22,0,0
1,1932,ROSEGEN001,1,5,2,40,0,0
1,1932,STENSTU001,2,3,1,11,0,0
1,1932,SHELDEC001,2,1,1,3,0,0
2,2018,RYANMAT001,16,608,422,4924,35,7
2,2018,SCHAMAT001,3,7,5,20,0,0
2,2018,SANUMOH001,16,2,1,5,1,0
2,2017,RYANMAT001,16,529,342,4095,20,12
2,2017,SANUMOH001,15,1,1,51,1,0
2,2016,RYANMAT001,16,534,373,4944,38,7
2,2016,SCHAMAT001,5,3,1,16,0,0
2,2015,RYANMAT001,16,614,407,4591,21,16
2,2015,RENFSEA001,2,7,3,11,0,1
2,2014,RYANMAT001,16,628,415,4694,28,14
2,2014,YATETJA001,1,4,3,64,0,1
2,2013,RYANMAT001,16,651,439,4515,26,17
2,2013,DAVIDOM001,1,7,5,34,0,0
2,2013,SCHISHA001,5,1,1,-8,0,0
2,2012,RYANMAT001,16,615,422,4719,32,14
2,2011,RYANMAT001,16,566,347,4177,29,12
2,2011,REDMCHR001,5,28,18,188,0,1
2,2010,RYANMAT001,16,571,357,3705,28,9
2,2010,REDMCHR001,2,6,4,20,0,0
2,2009,RYANMAT001,14,451,263,2916,22,14
2,2009,REDMCHR001,6,119,69,781,4,3
2,2008,RYANMAT001,16,434,265,3440,16,11
2,2007,HARRJOE002,12,348,215,2215,7,8
2,2007,REDMCHR001,7,149,89,1079,10,5
2,2007,LEFTBYR001,3,58,32,279,1,2
2,2006,VICKMIC001,16,388,204,2474,20,13
2,2006,SCHAMAT001,16,27,18,208,1,2
2,2006,NORWJER001,14,1,0,0,0,0
2,2005,VICKMIC001,15,387,214,2412,15,13
2,2005,SCHAMAT001,16,64,33,495,4,0
2,2004,VICKMIC001,15,321,181,2313,14,12
2,2004,SCHAMAT001,6,70,33,330,1,4
2,2004,MOHRCHR001,16,3,2,24,0,0
2,2004,PRICPEE001,16,1,1,25,0,0
2,2003,JOHNDOU001,10,243,136,1655,8,12
2,2003,KITTKUR001,7,114,44,391,2,6
2,2003,VICKMIC001,5,100,50,585,4,3
2,2003,DANTWOO001,9,1,0,0,0,0
2,2003,DUCKTJA001,16,1,0,0,0,0
2,2003,MOHRCHR001,16,1,0,0,0,0
2,2003,DUNNWAR001,11,0,0,0,0,0
2,2002,VICKMIC001,15,421,231,2936,16,8
2,2002,JOHNDOU001,6,57,37,448,2,3
2,2002,MOHRCHR001,16,1,0,0,0,1
2,2001,CHANCHR001,14,365,223,2847,16,14
2,2001,VICKMIC001,8,113,50,785,2,3
2,2001,JOHNDOU001,3,5,3,23,1,0
2,2001,MOHRCHR001,16,2,2,40,0,0
2,2000,CHANCHR001,14,331,192,2236,10,12
2,2000,KANEDAN001,5,116,57,524,2,5
2,2000,JOHNDOU001,4,67,36,406,2,3
2,1999,CHANCHR001,12,307,174,2339,16,11
2,1999,GRAZTON001,11,118,62,759,2,4
2,1999,KANEDAN001,3,84,42,593,4,4
2,1998,CHANCHR001,14,327,190,3154,25,12
2,1998,DEBESTE001,8,59,30,369,3,1
2,1998,GRAZTON001,4,33,16,199,0,2
2,1998,DWIGTIM001,12,2,1,22,0,0
2,1998,ANDEJAM002,16,2,0,0,0,0
2,1998,MARTTON001,16,1,0,0,0,0
2,1997,CHANCHR001,14,342,202,2692,20,7
2,1997,TOLLBIL001,6,115,63,685,5,1
2,1997,GRAZTON001,3,23,7,41,0,2
2,1997,ANDEJAM002,16,4,1,27,1,1
2,1996,HEBEBOB001,14,488,294,3152,22,25
2,1996,GEORJEF002,3,99,56,698,3,3
2,1996,NAGLBRO001,5,13,6,59,1,2
2,1995,GEORJEF002,16,557,336,4143,24,11
2,1995,HEBEBOB001,4,45,28,313,2,1
2,1995,METCERI001,16,1,0,0,0,0
2,1994,GEORJEF002,16,524,322,3734,23,18
2,1994,HEBEBOB001,8,103,52,610,2,6
2,1994,EMANBER001,16,1,0,0,0,1
2,1994,KLEIPER001,2,1,0,0,0,0
2,1993,HEBEBOB001,14,430,263,2978,24,17
2,1993,TOLLBIL001,7,76,39,464,3,5
2,1993,MILLCHR001,3,66,32,345,1,3
2,1993,SANDDEI001,11,1,0,0,0,0
2,1992,MILLCHR001,8,253,152,1739,15,6
2,1992,WILSWAD001,9,163,111,1366,13,4
2,1992,TOLLBIL001,9,131,73,787,5,5
2,1992,JONEKEI002,16,1,0,0,0,0
2,1991,MILLCHR001,15,413,220,3103,26,18
2,1991,TOLLBIL001,7,82,40,531,4,2
2,1991,FAVRBRE001,2,4,0,0,0,2
2,1990,MILLCHR001,12,388,222,2735,17,14
2,1990,CAMPSCO001,7,76,36,527,3,4
2,1990,MILLHUG001,3,63,34,427,1,0
2,1990,JONEKEI002,15,1,1,37,0,0
2,1989,MILLCHR001,15,526,280,3459,16,10
2,1989,MILLHUG001,5,50,31,432,1,2
2,1989,FULHSCO001,16,1,1,12,0,0
2,1989,JONEKEI002,14,1,0,0,0,0
2,1988,MILLCHR001,13,351,184,2133,11,12
2,1988,DILSSTE001,7,99,49,566,2,5
2,1988,MILLHUG001,3,31,17,215,0,2
2,1987,CAMPSCO001,12,260,136,1728,11,14
2,1987,KRAMERI001,3,92,45,559,4,5
2,1987,MILLCHR001,3,92,39,552,1,9
2,1987,VANRJEF001,2,34,18,174,1,2
2,1987,ARCHDAV001,9,23,9,95,0,2
2,1986,ARCHDAV001,11,294,150,2007,10,9
2,1986,SCHOTUR001,8,154,95,1032,4,8
2,1986,CAMPSCO001,1,3,1,7,0,0
2,1986,RIGGGER001,16,1,0,0,0,0
2,1985,ARCHDAV001,16,312,161,1992,7,17
2,1985,BARTSTE001,5,111,69,738,5,1
2,1985,HOLLBOB001,5,39,24,295,1,2
2,1984,BARTSTE001,11,269,181,2158,11,10
2,1984,MOROMIK001,16,191,102,1207,2,9
2,1984,ARCHDAV001,2,18,11,181,1,1
2,1983,BARTSTE001,14,432,274,3167,22,5
2,1983,MOROMIK001,16,70,45,575,2,4
2,1983,HODGFLO001,12,2,1,28,0,1
2,1983,GIACRAL001,16,1,1,23,0,0
2,1983,ANDRWIL001,16,1,0,0,0,0
2,1983,JOHNBIL008,16,1,0,0,0,0
2,1982,BARTSTE001,9,262,166,1905,8,11
2,1982,MOROMIK001,9,13,10,87,1,0
2,1982,ANDRWIL001,9,0,0,0,0,0
2,1981,BARTSTE001,16,533,297,3829,30,23
2,1981,MOROMIK001,3,26,12,132,0,1
2,1981,JONEJUN001,4,3,2,25,0,0
2,1981,JAMEJOH001,16,1,0,0,0,0
2,1980,BARTSTE001,16,463,257,3544,31,16
2,1980,MOROMIK001,3,3,2,24,0,0
2,1980,JAMEJOH001,16,1,0,0,0,1
2,1979,BARTSTE001,14,380,204,2505,17,20
2,1979,JONEJUN001,5,83,38,505,2,3
2,1979,MOROMIK001,2,15,8,97,0,0
2,1979,JAMEJOH001,16,1,1,20,0,0
2,1978,BARTSTE001,14,369,187,2489,10,18
2,1978,JONEJUN001,7,79,34,394,1,4
2,1978,BEANBUB001,15,1,0,0,0,1
2,1977,HUNTSCO001,7,151,70,898,2,3
2,1977,BARTSTE001,8,136,64,796,5,13
2,1977,MCQUKIM001,7,7,5,47,1,0
2,1977,ESPOMIK001,14,1,0,0,0,0
2,1977,JAMEJOH001,14,1,0,0,0,0
2,1977,JONEJUN001,1,1,1,-1,0,0
2,1976,MCQUKIM001,8,121,48,450,2,10
2,1976,BARTSTE001,5,120,57,677,2,9
2,1976,HUNTSCO001,8,110,51,633,5,4
2,1976,BEANBUB001,14,1,1,49,1,0
2,1976,ESPOMIK001,10,1,0,0,0,0
2,1976,JENKALF001,14,1,0,0,0,1
2,1975,BARTSTE001,11,255,115,1662,13,15
2,1975,SULLPAT001,6,70,28,380,3,5
2,1975,MCQUKIM001,3,61,20,253,1,9
2,1975,STANHAS001,14,1,1,41,1,0
