fid,season,playerid,g,fgm,fga,patm,pata,pt,ptyds
1,1953,TRIPCHA001,12,,,,,54,2314
1,1953,SIMMJAC001,12,,,,,22,845
1,1952,GERIJOE001,12,2,18,22,24,29,1094
1,1952,TRIPFRA001,6,,,,,31,1155
1,1952,TRIPCHA001,11,,,,,16,588
1,1951,PATTCLI001,12,5,8,19,19,,
1,1951,YABLVIN001,4,2,5,8,8,,
1,1951,POLSFRA001,12,,,,,47,1914
1,1951,TRIPCHA001,12,,,,,12,446
1,1951,TRIPFRA001,3,,,,,11,429
1,1950,HARDPAT001,12,4,9,22,24,,
1,1950,YABLVIN001,12,2,3,7,7,,
1,1950,HARDJIM001,11,,,,,56,2208
1,1950,TRIPFRA001,10,,,,,18,787
1,1950,TRIPCHA001,12,,,,,2,94
1,1949,YABLVIN001,12,5,6,1,1,,
1,1949,HARDPAT001,11,3,5,45,47,,
1,1949,COCHRED001,12,,,,,52,2186
1,1949,TRIPCHA001,12,,,,,8,292
1,1949,HARDJIM001,12,,,,,5,180
1,1948,HARDPAT001,12,7,17,53,53,,
1,1948,YABLVIN001,12,1,4,,,,
1,1948,MALLRAY001,12,,,,,45,1754
1,1948,TRIPCHA001,12,,,,,13,564
1,1948,COCHRED001,12,,,,,6,229
1,1948,EIKECHA001,9,,,,,2,72
1,1947,HARDPAT001,12,7,10,39,40,,
1,1947,IVYAPOP001,12,,1,,,,
1,1947,MALLRAY001,11,,,,,43,1717
1,1947,BURKJEF001,3,,,,,11,521
1,1947,COCHRED001,12,,,,,1,25
1,1947,BLACBIL001,12,,,,,1,19
1,1946,CUFFWAR001,10,5,12,28,30,,
1,1946,HARDPAT001,11,,,5,5,,
1,1946,BLACBIL001,11,,,,,35,1465
1,1946,MALLRAY001,5,,,,,15,520
1,1945,KUHAJOE001,6,,3,12,13,,
1,1945,BAKECON001,8,,1,,1,,
1,1945,REYNBIL001,9,,,,,38,1384
1,1945,BLACHAL001,2,,,,,17,661
1,1945,CANTLEO001,10,,,,,5,166
1,1945,KNOLJOH001,7,,,,,2,66
1,1944,ROBNMAR001,8,,2,1,1,1,14
1,1944,BAKECON001,9,,,11,15,,
1,1944,MCCAJOH002,7,,,,,24,801
1,1944,THURBOB001,10,,,,,15,450
1,1944,GRIGJOH001,9,,,,,12,424
1,1944,MARTJOH001,1,,,,,6,184
1,1944,MASTWAL001,3,,,,,2,91
1,1943,STOKDIX001,6,1,3,5,6,,
1,1943,BAKECON001,10,1,2,5,6,,
1,1943,BULGCHE001,10,,,1,1,,
1,1943,MARTJOH001,10,,,,,30,1187
1,1943,MASTWAL001,7,,,,,10,368
1,1943,PURDCAL001,4,,,,,8,341
1,1943,BUKAJOE001,8,,,,,5,181
1,1943,CAHIRON001,10,,,,,3,88
1,1942,DADDBIL001,11,5,10,8,8,,
1,1942,IVYAPOP001,11,,,2,2,,
1,1942,LACHSTE001,9,,,1,1,31,1245
1,1942,MARTJOH001,11,,,,,36,1417
1,1942,SCHWBUD001,11,,,,,3,114
1,1942,POPOMIL001,10,,,,,3,109
1,1942,WHEEERN001,3,,,,,1,40
1,1941,DADDBIL001,11,4,8,8,9,,
1,1941,ZONTLOU001,8,,4,5,7,12,446
1,1941,PARKBUD001,11,,,,1,,
1,1941,MALLRAY001,9,,,,,28,1150
1,1941,MARTJOH001,9,,,,,24,959
1,1941,BALAFRA001,9,,,,,7,259
1,1941,CLEMJOH001,9,,,,,4,125
1,1941,MCCUHUG001,7,,,,,3,122
1,1941,KUHAJOE001,10,,,,,1,45
1,1940,ZONTLOU001,8,2,5,10,10,2,92
